Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Max Exposure,Min Exposure,Ownership
37450-60643,OF,Aaron,Aaron Judge,Judge,15.75,57,4100,NYY@BAL,NYY,BAL,,,,,2,5.961538462,,
37450-38117,OF,Adam,Adam Duvall,Duvall,8.7,10,3200,ATL@MIN,ATL,MIN,,,,,6,5.961538462,,
37450-70898,2B,Adam,Adam Frazier,Frazier,10.37,104,2500,MIL@PIT,PIT,MIL,,,,,,5.961538462,,
37450-82626,OF,Adam,Adam Haseley,Haseley,8.35,22,2500,PHI@ARI,PHI,ARI,,,,,,5.961538462,,
37450-13060,2B,Adeiny,Adeiny Hechavarria,Hechavarria,9.04,58,2100,MIA@NYM,NYM,MIA,,,,,7,5.961538462,,
37450-38276,OF,Albert,Albert Almora Jr.,Almora Jr.,9.13,107,2600,OAK@CHC,CHC,OAK,,,,,6,5.961538462,,
37450-5177,1B,Albert,Albert Pujols,Pujols,9.56,89,2800,LAA@CIN,LAA,CIN,,,,,5,5.961538462,,
37450-5122,C,Alex,Alex Avila,Avila,8.52,38,2700,PHI@ARI,ARI,PHI,,,,,8,5.961538462,,
37450-68522,3B,Alex,Alex Bregman,Bregman,11.94,109,3900,COL@HOU,HOU,COL,,,,,4,5.961538462,,
37450-5135,OF,Alex,Alex Gordon,Gordon,10.77,108,2700,KAN@BOS,KAN,BOS,,,,,2,5.961538462,,
37450-68495,OF,Andrew,Andrew Benintendi,Benintendi,12.84,100,3700,KAN@BOS,BOS,KAN,,,,,4,5.961538462,,
37450-12269,P,Andrew,Andrew Cashner,Cashner,22.15,21,7100,KAN@BOS,BOS,KAN,,,,Yes,,,,
37450-102411,C,Andrew,Andrew Knizner,Knizner,6.52,11,2400,STL@LOS,STL,LOS,,,,,,5.961538462,,
37450-6151,P,Anibal,Anibal Sanchez,Sanchez,26.7,20,7700,WAS@SFG,WAS,SFG,,,,Yes,,,,
37450-53607,P,Anthony,Anthony DeSclafani,DeSclafani,25.96,21,7900,LAA@CIN,CIN,LAA,,,,Yes,,,,
37450-16951,3B,Anthony,Anthony Rendon,Rendon,12.93,98,4400,WAS@SFG,WAS,SFG,,,,,,5.961538462,,
37450-12940,1B,Anthony,Anthony Rizzo,Rizzo,11.27,108,4100,OAK@CHC,CHC,OAK,,,,,4,5.961538462,,
37450-79884,OF,Anthony,Anthony Santander,Santander,10.35,51,3100,NYY@BAL,BAL,NYY,,,,,3,5.961538462,,
37450-83186,OF,Aristides,Aristides Aquino,Aquino,11.68,5,2300,LAA@CIN,CIN,LAA,,,,,4,5.961538462,,
37450-54445,P,Asher,Asher Wojciechowski,Wojciechowski,20.14,7,7200,NYY@BAL,BAL,NYY,,,,Yes,,,,
37450-38004,C,Austin,Austin Hedges,Hedges,8.16,71,2300,SDP@SEA,SDP,SEA,,,,,,5.961538462,,
37450-52180,OF,Austin,Austin Meadows,Meadows,13.38,91,4100,TOR@TAM,TAM,TOR,,,,,3,5.961538462,,
37450-109803,2B,Austin,Austin Nola,Nola,6.56,35,2700,SDP@SEA,SEA,SDP,,,,,,5.961538462,,
37450-13009,C,Austin,Austin Romine,Romine,10.05,47,2500,NYY@BAL,NYY,BAL,,,,,8,5.961538462,,
37450-12985,OF,Avisail,Avisail Garcia,Garcia,10.79,94,3000,TOR@TAM,TAM,TOR,,,,,6,5.961538462,,
37450-82654,SS,Bo,Bo Bichette,Bichette,9.76,8,3600,TOR@TAM,TOR,TAM,,,,,1,5.961538462,,
37450-12900,1B,Brandon,Brandon Belt,Belt,10.61,109,3000,WAS@SFG,SFG,WAS,,,,,,5.961538462,,
37450-12961,SS,Brandon,Brandon Crawford,Crawford,8.08,103,2700,WAS@SFG,SFG,WAS,,,,,,5.961538462,,
37450-21172,OF,Brandon,Brandon Drury,Drury,6.78,86,2400,TOR@TAM,TOR,TAM,,,,,8,5.961538462,,
