Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Max Exposure
OF,Aaron Judge (13082726),Aaron Judge,13082726,OF,4900,NYY@BAL 08/06/2019 07:05PM ET,NYY,18,5.166666667
OF,Adam Duvall (13082852),Adam Duvall,13082852,OF,4100,ATL@MIN 08/06/2019 08:10PM ET,ATL,13,5.166666667
OF,Adam Engel (13083465),Adam Engel,13083465,OF,2900,CWS@DET 08/06/2019 07:10PM ET,CWS,10,5.166666667
2B,Adam Frazier (13082972),Adam Frazier,13082972,2B,3700,MIL@PIT 08/06/2019 07:05PM ET,PIT,12,5.166666667
OF,Adam Haseley (13083019),Adam Haseley,13083019,OF,3600,PHI@ARI 08/06/2019 09:40PM ET,PHI,12,5.166666667
2B/SS,Adeiny Hechavarria (13083056),Adeiny Hechavarria,13083056,2B/SS,3500,MIA@NYM 08/06/2019 07:10PM ET,NYM,9,5.166666667
OF,Albert Almora Jr. (13082927),Albert Almora Jr.,13082927,OF,3900,OAK@CHC 08/06/2019 08:05PM ET,CHC,10,5.166666667
1B,Albert Pujols (13082868),Albert Pujols,13082868,1B,4000,LAA@CIN 08/06/2019 07:10PM ET,LAA,12,5.166666667
C,Alex Avila (13082880),Alex Avila,13082880,C,4000,PHI@ARI 08/06/2019 09:40PM ET,ARI,10,5.166666667
3B/SS,Alex Bregman (13082766),Alex Bregman,13082766,3B/SS,4400,COL@HOU 08/06/2019 08:10PM ET,HOU,14,5.166666667
OF,Alex Gordon (13082812),Alex Gordon,13082812,OF,4200,KC@BOS 08/06/2019 07:10PM ET,KC,13,5.166666667
OF,Andrew Benintendi (13082686),Andrew Benintendi,13082686,OF,5000,KC@BOS 08/06/2019 07:10PM ET,BOS,15,5.166666667
SP,Andrew Cashner (13082656),Andrew Cashner,13082656,P,5800,KC@BOS 08/06/2019 07:10PM ET,BOS,10.8066,
C,Andrew Knizner (13083467),Andrew Knizner,13083467,C,2900,STL@LAD 08/06/2019 10:10PM ET,STL,8,5.166666667
SP,Anibal Sanchez (13082641),Anibal Sanchez,13082641,P,8000,WAS@SF 08/06/2019 09:45PM ET,WAS,18.408,
SP,Anthony DeSclafani (13082639),Anthony DeSclafani,13082639,P,8300,LAA@CIN 08/06/2019 07:10PM ET,CIN,16.1832,
3B,Anthony Rendon (13082684),Anthony Rendon,13082684,3B,5000,WAS@SF 08/06/2019 09:45PM ET,WAS,14,5.166666667
1B,Anthony Rizzo (13082760),Anthony Rizzo,13082760,1B,4500,OAK@CHC 08/06/2019 08:05PM ET,CHC,14,5.166666667
OF,Anthony Santander (13082792),Anthony Santander,13082792,OF,4300,NYY@BAL 08/06/2019 07:05PM ET,BAL,11,5.166666667
SP,Ariel Jurado (13082661),Ariel Jurado,13082661,P,4400,TEX@CLE 08/06/2019 07:10PM ET,TEX,7.58329,
OF,Aristides Aquino (13082976),Aristides Aquino,13082976,OF,3700,LAA@CIN 08/06/2019 07:10PM ET,CIN,16,5.166666667
SP,Asher Wojciechowski (13082650),Asher Wojciechowski,13082650,P,6600,NYY@BAL 08/06/2019 07:05PM ET,BAL,10.2604,
C,Austin Hedges (13083398),Austin Hedges,13083398,C,3000,SD@SEA 08/06/2019 10:10PM ET,SD,10,5.166666667
OF,Austin Meadows (13082693),Austin Meadows,13082693,OF,5000,TOR@TB 08/06/2019 07:10PM ET,TB,14,5.166666667
1B/2B,Austin Nola (13082978),Austin Nola,13082978,1B/2B,3700,SD@SEA 08/06/2019 10:10PM ET,SEA,10,5.166666667
C,Austin Romine (13082944),Austin Romine,13082944,C,3800,NYY@BAL 08/06/2019 07:05PM ET,NYY,11,5.166666667
OF,Avisail Garcia (13082811),Avisail Garcia,13082811,OF,4200,TOR@TB 08/06/2019 07:10PM ET,TB,11,5.166666667
SS,Bo Bichette (13082843),Bo Bichette,13082843,SS,4200,TOR@TB 08/06/2019 07:10PM ET,TOR,12,5.166666667
1B,Brandon Belt (13083009),Brandon Belt,13083009,1B,3600,WAS@SF 08/06/2019 09:45PM ET,SF,11,5.166666667
SS,Brandon Crawford (13083231),Brandon Crawford,13083231,SS,3200,WAS@SF 08/06/2019 09:45PM ET,SF,8,5.166666667
1B,Brandon Dixon (13082836),Brandon Dixon,13082836,1B,4100,CWS@DET 08/06/2019 07:10PM ET,DET,16,5.166666667
3B/OF,Brandon Drury (13083234),Brandon Drury,13083234,3B/OF,3200,TOR@TB 08/06/2019 07:10PM ET,TOR,8,5.166666667
SP,Brett Anderson (13082655),Brett Anderson,13082655,P,5900,OAK@CHC 08/06/2019 08:05PM ET,OAK,9.54356,
OF,Brett Gardner (13082784),Brett Gardner,13082784,OF,4400,NYY@BAL 08/06/2019 07:05PM ET,NYY,14,5.166666667
3B/OF,Brian Anderson (13082956),Brian Anderson,13082956,3B/OF,3800,MIA@NYM 08/06/2019 07:10PM ET,MIA,10,5.166666667
2B,Brian Dozier (13082971),Brian Dozier,13082971,2B,3700,WAS@SF 08/06/2019 09:45PM ET,WAS,10,5.166666667
OF,Brian Goodwin (13082851),Brian Goodwin,13082851,OF,4100,LAA@CIN 08/06/2019 07:10PM ET,LAA,14,5.166666667
C,Brian McCann (13083016),Brian McCann,13083016,C,3600,ATL@MIN 08/06/2019 08:10PM ET,ATL,11,5.166666667
2B,Brock Holt (13083103),Brock Holt,13083103,2B,3400,KC@BOS 08/06/2019 07:10PM ET,BOS,11,5.166666667
OF,Bryan Reynolds (13082723),Bryan Reynolds,13082723,OF,4700,MIL@PIT 08/06/2019 07:05PM ET,PIT,13,5.166666667
OF,Bryce Harper (13082777),Bryce Harper,13082777,OF,4400,PHI@ARI 08/06/2019 09:40PM ET,PHI,14,5.166666667
OF,Bubba Starling (13083166),Bubba Starling,13083166,OF,3300,KC@BOS 08/06/2019 07:10PM ET,KC,10,5.166666667
C,Buster Posey (13083044),Buster Posey,13083044,C,3500,WAS@SF 08/06/2019 09:45PM ET,SF,10,5.166666667
1B,C.J. Cron (13082802),C.J. Cron,13082802,1B,4300,ATL@MIN 08/06/2019 08:10PM ET,MIN,12,5.166666667
OF,Cameron Maybin (13082739),Cameron Maybin,13082739,OF,4600,NYY@BAL 08/06/2019 07:05PM ET,NYY,13,5.166666667
SS,Carlos Correa (13082771),Carlos Correa,13082771,SS,4400,COL@HOU 08/06/2019 08:10PM ET,HOU,12,5.166666667
1B,Carlos Santana (13082689),Carlos Santana,13082689,1B,5000,TEX@CLE 08/06/2019 07:10PM ET,CLE,14,5.166666667
2B/OF,Cavan Biggio (13082825),Cavan Biggio,13082825,2B/OF,4100,TOR@TB 08/06/2019 07:10PM ET,TOR,12,5.166666667
2B,Cesar Hernandez (13082941),Cesar Hernandez,13082941,2B,3800,PHI@ARI 08/06/2019 09:40PM ET,PHI,11,5.166666667
2B/OF,Chad Pinder (13083007),Chad Pinder,13083007,2B/OF,3600,OAK@CHC 08/06/2019 08:05PM ET,OAK,10,5.166666667
OF,Charlie Blackmon (13082687),Charlie Blackmon,13082687,OF,5300,COL@HOU 08/06/2019 08:10PM ET,COL,14,5.166666667
1B/OF,Charlie Culberson (13082949),Charlie Culberson,13082949,1B/OF,3800,ATL@MIN 08/06/2019 08:10PM ET,ATL,10,5.166666667
SP,Chase Anderson (13082654),Chase Anderson,13082654,P,6000,MIL@PIT 08/06/2019 07:05PM ET,MIL,13.2131,
1B/3B,Cheslor Cuthbert (13082893),Cheslor Cuthbert,13082893,1B/3B,4000,KC@BOS 08/06/2019 07:10PM ET,KC,12,5.166666667
C,Christian Vazquez (13082833),Christian Vazquez,13082833,C,4100,KC@BOS 08/06/2019 07:10PM ET,BOS,14,5.166666667
1B,Christian Walker (13082774),Christian Walker,13082774,1B,4400,PHI@ARI 08/06/2019 09:40PM ET,ARI,13,5.166666667
SP,Clayton Kershaw (13082631),Clayton Kershaw,13082631,P,11800,STL@LAD 08/06/2019 10:10PM ET,LAD,22.0068,
OF,Cody Bellinger (13082671),Cody Bellinger,13082671,OF,5500,STL@LAD 08/06/2019 10:10PM ET,LAD,16,5.166666667
3B,Colin Moran (13082928),Colin Moran,13082928,3B,3900,MIL@PIT 08/06/2019 07:05PM ET,PIT,11,5.166666667
SP,Conner Menez (13082645),Conner Menez,13082645,P,7200,WAS@SF 08/06/2019 09:45PM ET,SF,16.1229,
OF,Corey Dickerson (13082701),Corey Dickerson,13082701,OF,4900,PHI@ARI 08/06/2019 09:40PM ET,PHI,14,5.166666667
SS,Corey Seager (13082884),Corey Seager,13082884,SS,4000,STL@LAD 08/06/2019 10:10PM ET,LAD,12,5.166666667
1B,Daniel Murphy (13082779),Daniel Murphy,13082779,1B,4400,COL@HOU 08/06/2019 08:10PM ET,COL,11,5.166666667
1B,Daniel Vogelbach (13082815),Daniel Vogelbach,13082815,1B,4200,SD@SEA 08/06/2019 10:10PM ET,SEA,16,5.166666667
C,Danny Jansen (13083464),Danny Jansen,13083464,C,2900,TOR@TB 08/06/2019 07:10PM ET,TOR,8,5.166666667
1B/OF,Danny Santana (13082665),Danny Santana,13082665,1B/OF,5200,TEX@CLE 08/06/2019 07:10PM ET,TEX,14,5.166666667
2B/3B,David Bote (13082968),David Bote,13082968,2B/3B,3700,OAK@CHC 08/06/2019 08:05PM ET,CHC,10,5.166666667
3B/SS,David Fletcher (13082898),David Fletcher,13082898,3B/SS,4000,LAA@CIN 08/06/2019 07:10PM ET,LAA,11,5.166666667
OF,David Peralta (13082828),David Peralta,13082828,OF,4100,PHI@ARI 08/06/2019 09:40PM ET,ARI,13,5.166666667
3B,Dawel Lugo (13083670),Dawel Lugo,13083670,3B,2500,CWS@DET 08/06/2019 07:10PM ET,DET,11,5.166666667
OF,Delino DeShields (13082902),Delino DeShields,13082902,OF,4000,TEX@CLE 08/06/2019 07:10PM ET,TEX,10,5.166666667
OF,Dexter Fowler (13083116),Dexter Fowler,13083116,OF,3400,STL@LAD 08/06/2019 10:10PM ET,STL,10,5.166666667
SS,Didi Gregorius (13082691),Didi Gregorius,13082691,SS,5000,NYY@BAL 08/06/2019 07:05PM ET,NYY,16,5.166666667
SP,Dinelson Lamet (13082637),Dinelson Lamet,13082637,P,8500,SD@SEA 08/06/2019 10:10PM ET,SD,15.4711,
2B/3B,DJ LeMahieu (13082669),DJ LeMahieu,13082669,2B/3B,5600,NYY@BAL 08/06/2019 07:05PM ET,NYY,15,5.166666667
OF,DJ Stewart (13083436),DJ Stewart,13083436,OF,2900,NYY@BAL 08/06/2019 07:05PM ET,BAL,12,5.166666667
OF,Domingo Santana (13082892),Domingo Santana,13082892,OF,4000,SD@SEA 08/06/2019 10:10PM ET,SEA,14,5.166666667
SP,Drew VerHagen (13082659),Drew VerHagen,13082659,P,5200,CWS@DET 08/06/2019 07:10PM ET,DET,12.586,
C,Dustin Garneau (13083393),Dustin Garneau,13083393,C,3000,OAK@CHC 08/06/2019 08:05PM ET,OAK,9,5.166666667
OF/SS,Dylan Moore (13083236),Dylan Moore,13083236,SS/OF,3200,SD@SEA 08/06/2019 10:10PM ET,SEA,9,5.166666667
OF,Eddie Rosario (13082713),Eddie Rosario,13082713,OF,4800,ATL@MIN 08/06/2019 08:10PM ET,MIN,15,5.166666667
3B,Eduardo Escobar (13082700),Eduardo Escobar,13082700,3B,4900,PHI@ARI 08/06/2019 09:40PM ET,ARI,12,5.166666667
C,Elias Diaz (13083315),Elias Diaz,13083315,C,3100,MIL@PIT 08/06/2019 07:05PM ET,PIT,9,5.166666667
OF,Eloy Jimenez (13082991),Eloy Jimenez,13082991,OF,3700,CWS@DET 08/06/2019 07:10PM ET,CWS,14,5.166666667
SS,Elvis Andrus (13082797),Elvis Andrus,13082797,SS,4300,TEX@CLE 08/06/2019 07:10PM ET,TEX,11,5.166666667
OF,Ender Inciarte (13083020),Ender Inciarte,13083020,OF,3600,ATL@MIN 08/06/2019 08:10PM ET,ATL,10,5.166666667
1B,Eric Hosmer (13082814),Eric Hosmer,13082814,1B,4200,SD@SEA 08/06/2019 10:10PM ET,SD,14,5.166666667
2B,Eric Sogard (13082715),Eric Sogard,13082715,2B,4800,TOR@TB 08/06/2019 07:10PM ET,TB,11,5.166666667
SS,Erik Gonzalez (13083303),Erik Gonzalez,13083303,SS,3100,MIL@PIT 08/06/2019 07:05PM ET,PIT,8,5.166666667
3B,Eugenio Suarez (13082741),Eugenio Suarez,13082741,3B,4600,LAA@CIN 08/06/2019 07:10PM ET,CIN,16,5.166666667
3B,Evan Longoria (13082798),Evan Longoria,13082798,3B,4300,WAS@SF 08/06/2019 09:45PM ET,SF,9,5.166666667
SS,Fernando Tatis Jr. (13082680),Fernando Tatis Jr.,13082680,SS,5100,SD@SEA 08/06/2019 10:10PM ET,SD,18,5.166666667
SS,Francisco Lindor (13082667),Francisco Lindor,13082667,SS,5500,TEX@CLE 08/06/2019 07:10PM ET,CLE,15,5.166666667
OF,Franmil Reyes (13082846),Franmil Reyes,13082846,OF,4100,TEX@CLE 08/06/2019 07:10PM ET,CLE,15,5.166666667
1B,Freddie Freeman (13082720),Freddie Freeman,13082720,1B,4800,ATL@MIN 08/06/2019 08:10PM ET,ATL,14,5.166666667
SS,Freddy Galvis (13082901),Freddy Galvis,13082901,SS,4000,TOR@TB 08/06/2019 07:10PM ET,TOR,10,5.166666667
1B/OF,Garrett Cooper (13083098),Garrett Cooper,13083098,1B/OF,3400,MIA@NYM 08/06/2019 07:10PM ET,MIA,10,5.166666667
OF,George Springer (13082683),George Springer,13082683,OF,5200,COL@HOU 08/06/2019 08:10PM ET,HOU,14,5.166666667
1B/OF,Gerardo Parra (13082951),Gerardo Parra,13082951,1B/OF,3800,WAS@SF 08/06/2019 09:45PM ET,WAS,11,5.166666667
SP,German Marquez (13082635),German Marquez,13082635,P,9300,COL@HOU 08/06/2019 08:10PM ET,COL,13.0943,
2B/SS,Gleyber Torres (13082702),Gleyber Torres,13082702,2B/SS,5000,NYY@BAL 08/06/2019 07:05PM ET,NYY,16,5.166666667
2B/SS,Gordon Beckham (13083318),Gordon Beckham,13083318,2B/SS,3100,CWS@DET 08/06/2019 07:10PM ET,DET,10,5.166666667
2B/3B,Hanser Alberto (13083045),Hanser Alberto,13083045,2B/3B,3500,NYY@BAL 08/06/2019 07:05PM ET,BAL,10,5.166666667
2B/OF,Harold Castro (13083169),Harold Castro,13083169,2B/OF,3300,CWS@DET 08/06/2019 07:10PM ET,DET,12,5.166666667
SP,Hector Santiago (13082649),Hector Santiago,13082649,P,6700,CWS@DET 08/06/2019 07:10PM ET,CWS,12.2733,
3B,Hunter Dozier (13082717),Hunter Dozier,13082717,3B,4800,KC@BOS 08/06/2019 07:10PM ET,KC,14,5.166666667
OF,Hunter Pence (13082685),Hunter Pence,13082685,OF,4800,TEX@CLE 08/06/2019 07:10PM ET,TEX,12,5.166666667
