Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Max Exposure,Min Exposure,Ownership,name,projection
37450-60643,OF,Aaron,Aaron Judge,Judge,15.9959,57,4100,NYY@BAL,NYY,BAL,,,,,2,5.535714286,,,Aaron Judge,15.9959
37450-38117,OF,Adam,Adam Duvall,Duvall,10.3196,10,3200,ATL@MIN,ATL,MIN,,,,,6,5.535714286,,,Adam Duvall,10.3196
37450-70898,2B,Adam,Adam Frazier,Frazier,10.5526,104,2500,MIL@PIT,PIT,MIL,,,,,,5.535714286,,,Adam Frazier,10.5526
37450-82626,OF,Adam,Adam Haseley,Haseley,9.95382,22,2500,PHI@ARI,PHI,ARI,,,,,,5.535714286,,,Adam Haseley,9.95382
37450-13060,2B,Adeiny,Adeiny Hechavarria,Hechavarria,8.0683,58,2100,MIA@NYM,NYM,MIA,,,,,7,5.535714286,,,Adeiny Hechavarria,8.0683
37450-38276,OF,Albert,Albert Almora Jr.,Almora Jr.,8.4958,107,2600,OAK@CHC,CHC,OAK,,,,,6,5.535714286,,,Albert Almora Jr.,8.4958
37450-5177,1B,Albert,Albert Pujols,Pujols,9.82008,89,2800,LAA@CIN,LAA,CIN,,,,,5,5.535714286,,,Albert Pujols,9.82008
37450-5122,C,Alex,Alex Avila,Avila,9.3506,38,2700,PHI@ARI,ARI,PHI,,,,,8,5.535714286,,,Alex Avila,9.3506
37450-68522,3B,Alex,Alex Bregman,Bregman,11.9088,109,3900,COL@HOU,HOU,COL,,,,,4,5.535714286,,,Alex Bregman,11.9088
37450-5135,OF,Alex,Alex Gordon,Gordon,11.983,108,2700,KAN@BOS,KAN,BOS,,,,,2,5.535714286,,,Alex Gordon,11.983
37450-68495,OF,Andrew,Andrew Benintendi,Benintendi,13.5067,100,3700,KAN@BOS,BOS,KAN,,,,,4,5.535714286,,,Andrew Benintendi,13.5067
37450-12269,P,Andrew,Andrew Cashner,Cashner,23.5534,21,7100,KAN@BOS,BOS,KAN,,,,Yes,,,,,Andrew Cashner,23.5534
37450-102411,C,Andrew,Andrew Knizner,Knizner,6.99894,11,2400,STL@LOS,STL,LOS,,,,,,5.535714286,,,Andrew Knizner,6.99894
37450-6151,P,Anibal,Anibal Sanchez,Sanchez,34.4362,20,7700,WAS@SFG,WAS,SFG,,,,Yes,,,,,Anibal Sanchez,34.4362
37450-53607,P,Anthony,Anthony DeSclafani,DeSclafani,30.6758,21,7900,LAA@CIN,CIN,LAA,,,,Yes,,,,,Anthony DeSclafani,30.6758
37450-16951,3B,Anthony,Anthony Rendon,Rendon,11.9303,98,4400,WAS@SFG,WAS,SFG,,,,,,5.535714286,,,Anthony Rendon,11.9303
37450-12940,1B,Anthony,Anthony Rizzo,Rizzo,12.2662,108,4100,OAK@CHC,CHC,OAK,,,,,4,5.535714286,,,Anthony Rizzo,12.2662
37450-79884,OF,Anthony,Anthony Santander,Santander,9.87494,51,3100,NYY@BAL,BAL,NYY,,,,,3,5.535714286,,,Anthony Santander,9.87494
37450-79268,P,Ariel,Ariel Jurado,Jurado,18.1098,23,5800,TEX@CLE,TEX,CLE,,,,Yes,,,,,Ariel Jurado,18.1098
37450-83186,OF,Aristides,Aristides Aquino,Aquino,12.5348,5,2300,LAA@CIN,CIN,LAA,,,,,4,5.535714286,,,Aristides Aquino,12.5348
37450-54445,P,Asher,Asher Wojciechowski,Wojciechowski,21.9762,7,7200,NYY@BAL,BAL,NYY,,,,Yes,,,,,Asher Wojciechowski,21.9762
37450-38004,C,Austin,Austin Hedges,Hedges,8.51892,71,2300,SDP@SEA,SDP,SEA,,,,,,5.535714286,,,Austin Hedges,8.51892
37450-52180,OF,Austin,Austin Meadows,Meadows,12.4349,91,4100,TOR@TAM,TAM,TOR,,,,,3,5.535714286,,,Austin Meadows,12.4349
37450-109803,2B,Austin,Austin Nola,Nola,9.00446,35,2700,SDP@SEA,SEA,SDP,,,,,,5.535714286,,,Austin Nola,9.00446
37450-13009,C,Austin,Austin Romine,Romine,9.582,47,2500,NYY@BAL,NYY,BAL,,,,,8,5.535714286,,,Austin Romine,9.582
37450-12985,OF,Avisail,Avisail Garcia,Garcia,9.85898,94,3000,TOR@TAM,TAM,TOR,,,,,6,5.535714286,,,Avisail Garcia,9.85898
37450-82654,SS,Bo,Bo Bichette,Bichette,9.92,8,3600,TOR@TAM,TOR,TAM,,,,,1,5.535714286,,,Bo Bichette,9.92
37450-12900,1B,Brandon,Brandon Belt,Belt,9.98474,109,3000,WAS@SFG,SFG,WAS,,,,,,5.535714286,,,Brandon Belt,9.98474
37450-12961,SS,Brandon,Brandon Crawford,Crawford,7.66738,103,2700,WAS@SFG,SFG,WAS,,,,,,5.535714286,,,Brandon Crawford,7.66738
37450-21172,OF,Brandon,Brandon Drury,Drury,7.18786,86,2400,TOR@TAM,TOR,TAM,,,,,8,5.535714286,,,Brandon Drury,7.18786
37450-5416,P,Brett,Brett Anderson,Anderson,21.1108,22,6700,OAK@CHC,OAK,CHC,,,,Yes,,,,,Brett Anderson,21.1108
37450-5948,OF,Brett,Brett Gardner,Gardner,12.037,97,3100,NYY@BAL,NYY,BAL,,,,,5,5.535714286,,,Brett Gardner,12.037
37450-68531,3B,Brian,Brian Anderson,Anderson,9.3622,110,3300,MIA@NYM,MIA,NYM,,,,,4,5.535714286,,,Brian Anderson,9.3622
37450-13096,2B,Brian,Brian Dozier,Dozier,9.75652,105,2600,WAS@SFG,WAS,SFG,,,,,,5.535714286,,,Brian Dozier,9.75652
37450-52197,OF,Brian,Brian Goodwin,Goodwin,11.6274,91,2500,LAA@CIN,LAA,CIN,,,,,3,5.535714286,,,Brian Goodwin,11.6274
37450-5243,C,Brian,Brian McCann,McCann,9.58554,65,2500,ATL@MIN,ATL,MIN,,,,,5,5.535714286,,,Brian McCann,9.58554
37450-13685,2B,Brock,Brock Holt,Holt,10.39,51,2300,KAN@BOS,BOS,KAN,,,,,5,5.535714286,,,Brock Holt,10.39
37450-79230,OF,Bryan,Bryan Reynolds,Reynolds,11.4155,89,3400,MIL@PIT,PIT,MIL,,,,,,5.535714286,,,Bryan Reynolds,11.4155
37450-12948,OF,Bryce,Bryce Harper,Harper,12.6489,111,4100,PHI@ARI,PHI,ARI,,,,,,5.535714286,,,Bryce Harper,12.6489
37450-16955,OF,Bubba,Bubba Starling,Starling,9.42552,19,2400,KAN@BOS,KAN,BOS,,,,,7,5.535714286,,,Bubba Starling,9.42552
37450-6292,C,Buster,Buster Posey,Posey,8.79856,83,2800,WAS@SFG,SFG,WAS,,,,,,5.535714286,,,Buster Posey,8.79856
37450-38965,1B,C.J.,C.J. Cron,Cron,9.8436,85,3400,ATL@MIN,MIN,ATL,,,,,9,5.535714286,,,C.J. Cron,9.8436
37450-6047,OF,Cameron,Cameron Maybin,Maybin,11.0622,49,2800,NYY@BAL,NYY,BAL,,,,,6,5.535714286,,,Cameron Maybin,11.0622
37450-38614,SS,Carlos,Carlos Correa,Correa,10.4679,59,3700,COL@HOU,HOU,COL,,,,,6,5.535714286,,,Carlos Correa,10.4679
